refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,netWgt,primaryValue,,qty,qtyUnitAbbr
2018,Argentina,Import,France,870380,Vehicles; with only electric motor for propulsion,1635,21918.2,,1,u
2018,Brazil,Import,France,870380,Vehicles; with only electric motor for propulsion,9798,248708,,8,u
2018,Brazil,Import,Spain,870380,Vehicles; with only electric motor for propulsion,2952,39397,,4,u
2018,Chile,Import,France,870380,Vehicles; with only electric motor for propulsion,1900.221,37500.001,,1,u
2018,Colombia,Import,France,870380,Vehicles; with only electric motor for propulsion,255678.08,3796519.97,,157,u
2018,Costa Rica,Import,France,870380,Vehicles; with only electric motor for propulsion,2504,29233.19,,1.043,u
2018,Chile,Import,Germany,870380,Vehicles; with only electric motor for propulsion,48149.188,950202.384,,26,u
2018,Colombia,Import,Germany,870380,Vehicles; with only electric motor for propulsion,161200,4369283.23,,122,u
2018,Costa Rica,Import,Germany,870380,Vehicles; with only electric motor for propulsion,51928,1238535.61,,44.184,u
2018,Dominican Rep.,Import,Germany,870380,Vehicles; with only electric motor for propulsion,1361,20242,,1,u
2018,Dominican Rep.,Import,Germany,870380,Vehicles; with only electric motor for propulsion,1361,20242,,1,u
2018,Colombia,Import,Italy,870380,Vehicles; with only electric motor for propulsion,5552.51,114163.82,,19,u
2018,Costa Rica,Import,Italy,870380,Vehicles; with only electric motor for propulsion,1934,45739.83,,1.632,u
2018,Colombia,Import,Spain,870380,Vehicles; with only electric motor for propulsion,70032,1345691.68,,197,u
2018,Costa Rica,Import,Spain,870380,Vehicles; with only electric motor for propulsion,6051,167648.53,,5.981,u
2018,Jamaica,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1280.01,25798.92,,3,u
2018,Panama,Import,Germany,870380,Vehicles; with only electric motor for propulsion,7132,207231,,5,u
2018,Paraguay,Import,Germany,870380,Vehicles; with only electric motor for propulsion,30,986,,0.035,u
2018,Uruguay,Import,France,870380,Vehicles; with only electric motor for propulsion,53940,974780,,33,u
2018,Uruguay,Import,France,870380,Vehicles; with only electric motor for propulsion,53940,974780,,33,u
2018,Uruguay,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1604,28327.4,,1,u
2018,Uruguay,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1604,28327.4,,1,u
2019,Bolivia (Plurinational State of),Import,France,870380,Vehicles; with only electric motor for propulsion,0,64890.23,,0,N/A
2019,Brazil,Import,France,870380,Vehicles; with only electric motor for propulsion,189692,3462093,,127,u
2019,Argentina,Import,Germany,870380,Vehicles; with only electric motor for propulsion,2570,30111.8,,1,u
2019,Brazil,Import,Germany,870380,Vehicles; with only electric motor for propulsion,40230,988397,,29,u
2019,Brazil,Import,Spain,870380,Vehicles; with only electric motor for propulsion,9980,234266,,20,u
2019,Colombia,Import,Austria,870380,Vehicles; with only electric motor for propulsion,6828,219033.23,,3,u
2019,Colombia,Import,Austria,870380,Vehicles; with only electric motor for propulsion,6828,219033.23,,3,u
2019,Costa Rica,Import,Belgium,870380,Vehicles; with only electric motor for propulsion,57284,1374447.86,,43.684,u
2019,Chile,Import,France,870380,Vehicles; with only electric motor for propulsion,289.482,5814.41,,1,u
2019,Colombia,Import,France,870380,Vehicles; with only electric motor for propulsion,281935.9,2915561.43,,154,u
2019,Colombia,Import,France,870380,Vehicles; with only electric motor for propulsion,281935.9,2915561.43,,154,u
2019,Chile,Import,Germany,870380,Vehicles; with only electric motor for propulsion,27683.546,556038.968,,16,u
2019,Colombia,Import,Germany,870380,Vehicles; with only electric motor for propulsion,373607.26,10044916.69,,276,u
2019,Costa Rica,Import,Germany,870380,Vehicles; with only electric motor for propulsion,110410,2566390.86,,81.568,u
2019,Dominican Rep.,Import,Germany,870380,Vehicles; with only electric motor for propulsion,30754.55,299950.446,,8,u
2019,Colombia,Import,Germany,870380,Vehicles; with only electric motor for propulsion,373607.26,10044916.69,,276,u
2019,Dominican Rep.,Import,Germany,870380,Vehicles; with only electric motor for propulsion,30754.55,299950.446,,8,u
2019,Colombia,Import,Italy,870380,Vehicles; with only electric motor for propulsion,1389.64,30362.23,,8,u
2019,Colombia,Import,Italy,870380,Vehicles; with only electric motor for propulsion,1389.64,30362.23,,8,u
2019,Colombia,Import,Spain,870380,Vehicles; with only electric motor for propulsion,50876.85,914013.85,,99,u
2019,Costa Rica,Import,Spain,870380,Vehicles; with only electric motor for propulsion,925,20850,,0.663,u
2019,Cuba,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1596,49643.68,,1,u
2019,Colombia,Import,Spain,870380,Vehicles; with only electric motor for propulsion,50876.85,914013.85,,99,u
2019,Ecuador,Import,Italy,870380,Vehicles; with only electric motor for propulsion,840,59087.227,,6,u
2019,Ecuador,Import,Italy,870380,Vehicles; with only electric motor for propulsion,840,59087.227,,6,u
2019,Panama,Import,Germany,870380,Vehicles; with only electric motor for propulsion,1345,34442,,1,u
2019,Paraguay,Import,Germany,870380,Vehicles; with only electric motor for propulsion,5852,158300,,5.031,u
2019,Peru,Import,Germany,870380,Vehicles; with only electric motor for propulsion,2460,81153.99,,1,u
2019,Uruguay,Import,France,870380,Vehicles; with only electric motor for propulsion,4892,98300,,3,u
2019,Uruguay,Import,France,870380,Vehicles; with only electric motor for propulsion,4892,98300,,3,u
2019,Uruguay,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1099.99,107595,,1,u
2019,Uruguay,Import,Spain,870380,Vehicles; with only electric motor for propulsion,1099.99,107595,,1,u
2020,Brazil,Import,Belgium,870380,Vehicles; with only electric motor for propulsion,558496,8860168,,209,u
2020,Brazil,Import,France,870380,Vehicles; with only electric motor for propulsion,1488,36456,,3,u
2020,Argentina,Import,Germany,870380,Vehicles; with only electric motor for propulsion,2475,130441.15,,1,u
