refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,netWgt,primaryValue
2018,Argentina,Import,Austria,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",15.29,5097.44
2018,Brazil,Import,Austria,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",55.05,14713
2018,Argentina,Import,Belgium,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",0.91,201.45
2018,Argentina,Import,Bulgaria,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",1.51,120.49
2018,Bolivia (Plurinational State of),Import,Bulgaria,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",0.97,39.37
2018,Argentina,Import,Czechia,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",5,573.59
2018,Brazil,Import,Czechia,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",60,6311
2018,Argentina,Import,Denmark,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",7.83,6732.64
2018,Brazil,Import,Denmark,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",138.631,19275
2018,Argentina,Import,Estonia,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",2.3,2572.63
2018,Brazil,Import,Estonia,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",3.911,314
2018,Argentina,Import,Finland,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",2.56,775.22
2018,Bolivia (Plurinational State of),Import,Finland,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",2.56,898.13
2018,Brazil,Import,Finland,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",9.485,751
2018,Argentina,Import,France,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",529.78,98867.26
2018,Brazil,Import,France,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",740.132,174614
2018,Argentina,Import,Germany,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",14401.91,497406.56
2018,Bolivia (Plurinational State of),Import,Germany,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",806.6,57569.54
2018,Brazil,Import,Germany,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",10920.907,947677
2018,Argentina,Import,Hungary,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",128.25,5569.92
2018,Brazil,Import,Hungary,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",26,5242
2018,Argentina,Import,Ireland,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",5.51,2043.92
