refYear,reporterDesc,flowDesc,partnerDesc,netWgt,primaryValue,cmdCode,cmdDesc
2018,Brazil,Export,Belgium,2283064,3017810,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,France,188000,406469,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Germany,6641152,9724053,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Italy,32000,46720,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Netherlands,1027544,2333270,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Poland,3181036,3322723,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Slovenia,756400,579516,250410,"Graphite; natural, in powder or in flakes"
2018,Brazil,Export,Belgium,108000,19840,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Brazil,Export,Germany,330000,92296,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Brazil,Export,Italy,478710,427068,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Brazil,Export,Netherlands,504000,79632,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Brazil,Export,Sweden,42,79,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Bolivia (Plurinational State of),Export,Belgium,283605,235616.17,260300,Copper ores and concentrates
2018,Brazil,Export,Bulgaria,157788500,316294484,260300,Copper ores and concentrates
2018,Brazil,Export,Finland,34319000,53813687,260300,Copper ores and concentrates
2018,Brazil,Export,France,1,31,260300,Copper ores and concentrates
2018,Brazil,Export,Germany,185399000,406415281,260300,Copper ores and concentrates
2018,Brazil,Export,Poland,81842776,215195462,260300,Copper ores and concentrates
2018,Brazil,Export,Spain,127107020,249203722,260300,Copper ores and concentrates
2018,Brazil,Export,Sweden,102128050,269368960,260300,Copper ores and concentrates
2018,Brazil,Export,Austria,125,53,260400,Nickel ores and concentrates
2018,Brazil,Export,France,683,184,260400,Nickel ores and concentrates
2018,Brazil,Export,Germany,1503,405,260400,Nickel ores and concentrates
2018,Chile,Export,Bulgaria,48976241,295567356,260300,Copper ores and concentrates
2018,Chile,Export,Finland,29378714,181113574,260300,Copper ores and concentrates
2018,Chile,Export,Germany,53111454,343896757,260300,Copper ores and concentrates
2018,Chile,Export,Spain,144034609,884518555,260300,Copper ores and concentrates
2018,Chile,Export,Sweden,4746450,24287536,260300,Copper ores and concentrates
2018,Colombia,Export,Spain,30083500,42267727.07,260300,Copper ores and concentrates
2018,Dominican Rep.,Export,Germany,392122,1647860.29,260300,Copper ores and concentrates
2018,Dominican Rep.,Export,Germany,392122,1647860.29,260300,Copper ores and concentrates
2018,Colombia,Export,Germany,38.7,200,260400,Nickel ores and concentrates
2018,Chile,Export,Belgium,390000,6893752,282520,Lithium oxide and hydroxide
2018,Ecuador,Export,Bulgaria,108206,601180.94,260300,Copper ores and concentrates
2018,Ecuador,Export,Spain,436055,992864.05,260300,Copper ores and concentrates
2018,Ecuador,Export,Bulgaria,108206,601180.94,260300,Copper ores and concentrates
2018,Ecuador,Export,Spain,436055,992864.05,260300,Copper ores and concentrates
2018,Guatemala,Export,Greece,28609900,743858,260400,Nickel ores and concentrates
2018,Mexico,Export,Belgium,17009697.53,24900568,260300,Copper ores and concentrates
2018,Peru,Export,Germany,39,10,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2018,Peru,Export,Belgium,10633129,19713467.82,260300,Copper ores and concentrates
2018,Peru,Export,Bulgaria,167091600,279722664.2,260300,Copper ores and concentrates
2018,Peru,Export,Finland,10332700,19227000.73,260300,Copper ores and concentrates
2018,Peru,Export,France,2,20,260300,Copper ores and concentrates
2018,Peru,Export,Germany,341420803,582174573.5,260300,Copper ores and concentrates
2018,Peru,Export,Greece,37480,39976,260300,Copper ores and concentrates
2018,Peru,Export,Poland,20575200,44620394.57,260300,Copper ores and concentrates
2018,Peru,Export,Spain,159359820,237102839.6,260300,Copper ores and concentrates
2019,Brazil,Export,Austria,58000,49049,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Belgium,1725720,2394882,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,France,101000,227350,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Germany,5810401,10839621,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Italy,16000,23536,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Netherlands,599030,509917,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Poland,2590888,2682359,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Slovakia,40000,34078,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Slovenia,20000,17039,250410,"Graphite; natural, in powder or in flakes"
2019,Brazil,Export,Belgium,406540,83929,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2019,Brazil,Export,Germany,606001,121855,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2019,Brazil,Export,Italy,1595535,597636,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2019,Brazil,Export,Netherlands,941390,299353,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2019,Brazil,Export,Spain,410511,59672,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2019,Bolivia (Plurinational State of),Export,Belgium,135858.46,845305.16,260300,Copper ores and concentrates
2019,Brazil,Export,Austria,5412,1399,260300,Copper ores and concentrates
2019,Brazil,Export,Bulgaria,58337800,112551636,260300,Copper ores and concentrates
2019,Brazil,Export,Denmark,10,92,260300,Copper ores and concentrates
2019,Brazil,Export,Finland,28742350,43227318,260300,Copper ores and concentrates
2019,Brazil,Export,Germany,229950015,485108857,260300,Copper ores and concentrates
2019,Brazil,Export,Poland,120047000,296769474,260300,Copper ores and concentrates
2019,Brazil,Export,Spain,122738400,221814245,260300,Copper ores and concentrates
2019,Brazil,Export,Sweden,73388000,172569845,260300,Copper ores and concentrates
2019,Brazil,Export,Germany,3,1,260400,Nickel ores and concentrates
2019,Chile,Export,Bulgaria,28510722.17,148984400.5,260300,Copper ores and concentrates
2019,Chile,Export,Finland,33094994.19,181655123.2,260300,Copper ores and concentrates
2019,Chile,Export,Germany,46083987.6,289450062.6,260300,Copper ores and concentrates
2019,Chile,Export,Spain,88640974.12,504405450.4,260300,Copper ores and concentrates
2019,Chile,Export,Sweden,5972502.043,33851057.14,260300,Copper ores and concentrates
2019,Colombia,Export,Belgium,60000,31020,260300,Copper ores and concentrates
2019,Colombia,Export,Belgium,60000,31020,260300,Copper ores and concentrates
2019,Chile,Export,Belgium,450000,6414302.44,282520,Lithium oxide and hydroxide
2019,Ecuador,Export,Spain,240000,76108.8,260300,Copper ores and concentrates
2019,Ecuador,Export,Spain,240000,76108.8,260300,Copper ores and concentrates
2019,Guatemala,Export,Greece,206386600,6810450,260400,Nickel ores and concentrates
2019,Peru,Export,Belgium,21028000,29764612.82,260300,Copper ores and concentrates
2019,Peru,Export,Bulgaria,120126410,223504824.5,260300,Copper ores and concentrates
2019,Peru,Export,Finland,30281700,52819496.53,260300,Copper ores and concentrates
2019,Peru,Export,Germany,303633233,526141312.1,260300,Copper ores and concentrates
2019,Peru,Export,Netherlands,621676,666433.28,260300,Copper ores and concentrates
2019,Peru,Export,Spain,68520700,98265509.11,260300,Copper ores and concentrates
2019,Peru,Export,Sweden,20586891,27212541.04,260300,Copper ores and concentrates
2020,Brazil,Export,Austria,18000,14937,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Belgium,1692472,2264725,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,France,104000,255701,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Germany,4909700,9312020,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Italy,16000,23536,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Netherlands,818000,701789,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Poland,2224432,2091975,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Slovakia,20000,17381,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Slovenia,40000,36886,250410,"Graphite; natural, in powder or in flakes"
2020,Brazil,Export,Belgium,651097,110741,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2020,Brazil,Export,France,31688600,7958972,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2020,Brazil,Export,Germany,247000,50553,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2020,Brazil,Export,Italy,1356730,595464,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
